txn_id,user_id,amount,location,device,merchant_id
TX001,U001,750,Lucknow,Android,M001
TX002,U002,1100,Delhi,iPhone,M003
TX003,U003,450,Mumbai,Android,M004
TX004,U004,1400,Bangalore,iPhone,M006
TX005,U005,650,Kanpur,Android,M008
TX006,U006,950,Pune,Android,M010
TX007,U007,850,Delhi,Android,M001
TX008,U008,1200,Lucknow,iPhone,M003
TX009,U009,550,Mumbai,Android,M004
TX010,U010,1000,Hyderabad,iPhone,M006
TX011,U001,18000,Mumbai,iPhone,M002
TX012,U002,25000,Chennai,Android,M005
TX013,U003,12000,Delhi,iPhone,M009
TX014,U004,30000,Kolkata,Android,M005
TX015,U005,9000,Mumbai,iPhone,M002
TX016,U006,15000,Delhi,iPhone,M009
TX017,U007,22000,Bangalore,iPhone,M005
TX018,U008,17000,Pune,Android,M002
TX019,U009,14000,Hyderabad,iPhone,M009
TX020,U010,28000,Mumbai,Android,M005
